Гeнeрaтoр примeрoв пo aлгeбрe (c) Алоян

Вариант №1
(x*28+168)*9+2772=21168,  x = 67
(x*16+80)/6-1920=5568,  x = 2803
(x*16-80)*6+1920=5568,  x = 43
(x*16-80)*6-1920=5568,  x = 83
(x*16-80)/6+1920=5568,  x = 1373
(x*16-80)/6-1920=5568,  x = 2813
(x/16+80)*6+1920=5568,  x = 8448
(x/16+80)*6-1920=5568,  x = 18688
(x/16+80)/6+1920=5568,  x = 348928
(x/16+80)/6-1920=5568,  x = 717568
(x/16-80)*6+1920=5568,  x = 11008
(x/16-80)*6-1920=5568,  x = 21248
(x/16-80)/6+1920=5568,  x = 351488
(x/16-80)/6-1920=5568,  x = 720128

Вариант №39
(x*33+99)*20+4620=58740,  x = 79
(x*33+99)*20-4620=58740,  x = 93
(x*33+99)/20+4620=58740,  x = 32797
(x*33+99)/20-4620=58740,  x = 38397
(x*33-99)*20+4620=58740,  x = 85
(x*33-99)*20-4620=58740,  x = 99
(x*33-99)/20+4620=58740,  x = 32803
(x*33-99)/20-4620=58740,  x = 38403
(x/33+99)*20+4620=58740,  x = 86031
(x/33+99)*20-4620=58740,  x = 101277
(x/33+99)/20+4620=58740,  x = 35715933
(x/33+99)/20-4620=58740,  x = 41814333
(x/33-99)*20+4620=58740,  x = 92565
(x/33-99)*20-4620=58740,  x = 107811
(x/33-99)/20+4620=58740,  x = 35722467
(x/33-99)/20-4620=58740,  x = 41820867

Вариант №40
(x*15+30)*14+3990=18060,  x = 65
(x*15+30)*14-3990=18060,  x = 103
(x*15+30)/14+3990=18060,  x = 13130
(x*15+30)/14-3990=18060,  x = 20578
(x*15-30)*14+3990=18060,  x = 69
(x*15-30)*14-3990=18060,  x = 107
(x*15-30)/14+3990=18060,  x = 13134
(x*15-30)/14-3990=18060,  x = 20582
(x/15+30)*14+3990=18060,  x = 14625
(x/15+30)*14-3990=18060,  x = 23175
(x/15+30)/14+3990=18060,  x = 2954250
(x/15+30)/14-3990=18060,  x = 4630050
(x/15-30)*14+3990=18060,  x = 15525
(x/15-30)*14-3990=18060,  x = 24075
(x/15-30)/14+3990=18060,  x = 2955150
(x/15-30)/14-3990=18060,  x = 4630950

Вариант №41
(x*30+90)*20+3600=52200,  x = 78
(x*30+90)*20-3600=52200,  x = 90
(x*30+90)/20+3600=52200,  x = 32397
(x*30+90)/20-3600=52200,  x = 37197
(x*30-90)*20+3600=52200,  x = 84
(x*30-90)*20-3600=52200,  x = 96
(x*30-90)/20+3600=52200,  x = 32403
(x*30-90)/20-3600=52200,  x = 37203
(x/30+90)*20+3600=52200,  x = 70200
(x/30+90)*20-3600=52200,  x = 81000
(x/30+90)/20+3600=52200,  x = 29157300
(x/30+90)/20-3600=52200,  x = 33477300
(x/30-90)*20+3600=52200,  x = 75600
(x/30-90)*20-3600=52200,  x = 86400
(x/30-90)/20+3600=52200,  x = 29162700
(x/30-90)/20-3600=52200,  x = 33482700

Вариант №42
(x*39+195)*8+7176=23400,  x = 47
(x*39+195)*8-7176=23400,  x = 93
(x*39+195)/8+7176=23400,  x = 3323
(x*39+195)/8-7176=23400,  x = 6267
(x*39-195)*8+7176=23400,  x = 57
(x*39-195)*8-7176=23400,  x = 103
(x*39-195)/8+7176=23400,  x = 3333
(x*39-195)/8-7176=23400,  x = 6277
(x/39+195)*8+7176=23400,  x = 71487
(x/39+195)*8-7176=23400,  x = 141453
(x/39+195)/8+7176=23400,  x = 5054283
(x/39+195)/8-7176=23400,  x = 9532107
(x/39-195)*8+7176=23400,  x = 86697
(x/39-195)*8-7176=23400,  x = 156663
(x/39-195)/8+7176=23400,  x = 5069493
(x/39-195)/8-7176=23400,  x = 9547317

Вариант №43
(x*20+60)*27+2160=69660,  x = 122
(x*20+60)*27-2160=69660,  x = 130
(x*20+60)/27+2160=69660,  x = 91122
(x*20+60)/27-2160=69660,  x = 96954
(x*20-60)*27+2160=69660,  x = 128
(x*20-60)*27-2160=69660,  x = 136
(x*20-60)/27+2160=69660,  x = 91128
(x*20-60)/27-2160=69660,  x = 96960
(x/20+60)*27+2160=69660,  x = 48800
(x/20+60)*27-2160=69660,  x = 52000
(x/20+60)/27+2160=69660,  x = 36448800
(x/20+60)/27-2160=69660,  x = 38781600
(x/20-60)*27+2160=69660,  x = 51200
(x/20-60)*27-2160=69660,  x = 54400
(x/20-60)/27+2160=69660,  x = 36451200
(x/20-60)/27-2160=69660,  x = 38784000

Вариант №44
(x*20+40)*17+3400=27540,  x = 69
(x*20+40)*17-3400=27540,  x = 89
(x*20+40)/17+3400=27540,  x = 20517
(x*20+40)/17-3400=27540,  x = 26297
(x*20-40)*17+3400=27540,  x = 73
(x*20-40)*17-3400=27540,  x = 93
(x*20-40)/17+3400=27540,  x = 20521
(x*20-40)/17-3400=27540,  x = 26301
(x/20+40)*17+3400=27540,  x = 27600
(x/20+40)*17-3400=27540,  x = 35600
(x/20+40)/17+3400=27540,  x = 8206800
(x/20+40)/17-3400=27540,  x = 10518800
(x/20-40)*17+3400=27540,  x = 29200
(x/20-40)*17-3400=27540,  x = 37200
(x/20-40)/17+3400=27540,  x = 8208400
(x/20-40)/17-3400=27540,  x = 10520400

Вариант №45
(x*16+48)*26+3328=56160,  x = 124
(x*16+48)*26-3328=56160,  x = 140
(x*16+48)/26+3328=56160,  x = 85849
(x*16+48)/26-3328=56160,  x = 96665
(x*16-48)*26+3328=56160,  x = 130
(x*16-48)*26-3328=56160,  x = 146
(x*16-48)/26+3328=56160,  x = 85855
(x*16-48)/26-3328=56160,  x = 96671
(x/16+48)*26+3328=56160,  x = 31744
(x/16+48)*26-3328=56160,  x = 35840
(x/16+48)/26+3328=56160,  x = 21977344
(x/16+48)/26-3328=56160,  x = 24746240
(x/16-48)*26+3328=56160,  x = 33280
(x/16-48)*26-3328=56160,  x = 37376
(x/16-48)/26+3328=56160,  x = 21978880
(x/16-48)/26-3328=56160,  x = 24747776

Вариант №46
(x*12+24)*17+3468=17748,  x = 68
(x*12+24)*17-3468=17748,  x = 102
(x*12+24)/17+3468=17748,  x = 20228
(x*12+24)/17-3468=17748,  x = 30054
(x*12-24)*17+3468=17748,  x = 72
(x*12-24)*17-3468=17748,  x = 106
(x*12-24)/17+3468=17748,  x = 20232
(x*12-24)/17-3468=17748,  x = 30058
(x/12+24)*17+3468=17748,  x = 9792
(x/12+24)*17-3468=17748,  x = 14688
(x/12+24)/17+3468=17748,  x = 2912832
(x/12+24)/17-3468=17748,  x = 4327776
(x/12-24)*17+3468=17748,  x = 10368
(x/12-24)*17-3468=17748,  x = 15264
(x/12-24)/17+3468=17748,  x = 2913408
(x/12-24)/17-3468=17748,  x = 4328352

Вариант №47
(x*26+78)*20+5200=47840,  x = 79
(x*26+78)*20-5200=47840,  x = 99
(x*26+78)/20+5200=47840,  x = 32797
(x*26+78)/20-5200=47840,  x = 40797
(x*26-78)*20+5200=47840,  x = 85
(x*26-78)*20-5200=47840,  x = 105
(x*26-78)/20+5200=47840,  x = 32803
(x*26-78)/20-5200=47840,  x = 40803
(x/26+78)*20+5200=47840,  x = 53404
(x/26+78)*20-5200=47840,  x = 66924
(x/26+78)/20+5200=47840,  x = 22170772
(x/26+78)/20-5200=47840,  x = 27578772
(x/26-78)*20+5200=47840,  x = 57460
(x/26-78)*20-5200=47840,  x = 70980
(x/26-78)/20+5200=47840,  x = 22174828
(x/26-78)/20-5200=47840,  x = 27582828

Вариант №48
(x*17+34)*27+2754=63801,  x = 131
(x*17+34)*27-2754=63801,  x = 143
(x*17+34)/27+2754=63801,  x = 96955
(x*17+34)/27-2754=63801,  x = 105703
(x*17-34)*27+2754=63801,  x = 135
(x*17-34)*27-2754=63801,  x = 147
(x*17-34)/27+2754=63801,  x = 96959
(x*17-34)/27-2754=63801,  x = 105707
(x/17+34)*27+2754=63801,  x = 37859
(x/17+34)*27-2754=63801,  x = 41327
(x/17+34)/27+2754=63801,  x = 28019995
(x/17+34)/27-2754=63801,  x = 30548167
(x/17-34)*27+2754=63801,  x = 39015
(x/17-34)*27-2754=63801,  x = 42483
(x/17-34)/27+2754=63801,  x = 28021151
(x/17-34)/27-2754=63801,  x = 30549323

Вариант №49
(x*17+51)*29+4930=70006,  x = 129
(x*17+51)*29-4930=70006,  x = 149
(x*17+51)/29+4930=70006,  x = 111009
(x*17+51)/29-4930=70006,  x = 127829
(x*17-51)*29+4930=70006,  x = 135
(x*17-51)*29-4930=70006,  x = 155
(x*17-51)/29+4930=70006,  x = 111015
(x*17-51)/29-4930=70006,  x = 127835
(x/17+51)*29+4930=70006,  x = 37281
(x/17+51)*29-4930=70006,  x = 43061
(x/17+51)/29+4930=70006,  x = 32081601
(x/17+51)/29-4930=70006,  x = 36942581
(x/17-51)*29+4930=70006,  x = 39015
(x/17-51)*29-4930=70006,  x = 44795
(x/17-51)/29+4930=70006,  x = 32083335
(x/17-51)/29-4930=70006,  x = 36944315

Вариант №50
(x*30+90)*23+17940=100050,  x = 116
(x*30+90)*23-17940=100050,  x = 168
(x*30+90)/23+17940=100050,  x = 62948
(x*30+90)/23-17940=100050,  x = 90456
(x*30-90)*23+17940=100050,  x = 122
(x*30-90)*23-17940=100050,  x = 174
(x*30-90)/23+17940=100050,  x = 62954
(x*30-90)/23-17940=100050,  x = 90462
(x/30+90)*23+17940=100050,  x = 104400
(x/30+90)*23-17940=100050,  x = 151200
(x/30+90)/23+17940=100050,  x = 56653200
(x/30+90)/23-17940=100050,  x = 81410400
(x/30-90)*23+17940=100050,  x = 109800
(x/30-90)*23-17940=100050,  x = 156600
(x/30-90)/23+17940=100050,  x = 56658600
(x/30-90)/23-17940=100050,  x = 81415800

Вариант №51
(x*37+74)*16+10656=54464,  x = 72
(x*37+74)*16-10656=54464,  x = 108
(x*37+74)/16+10656=54464,  x = 18942
(x*37+74)/16-10656=54464,  x = 28158
(x*37-74)*16+10656=54464,  x = 76
(x*37-74)*16-10656=54464,  x = 112
(x*37-74)/16+10656=54464,  x = 18946
(x*37-74)/16-10656=54464,  x = 28162
(x/37+74)*16+10656=54464,  x = 98568
(x/37+74)*16-10656=54464,  x = 147852
(x/37+74)/16+10656=54464,  x = 25931598
(x/37+74)/16-10656=54464,  x = 38548302
(x/37-74)*16+10656=54464,  x = 104044
(x/37-74)*16-10656=54464,  x = 153328
(x/37-74)/16+10656=54464,  x = 25937074
(x/37-74)/16-10656=54464,  x = 38553778

Вариант №52
(x*32+96)*13+5824=35776,  x = 69
(x*32+96)*13-5824=35776,  x = 97
(x*32+96)/13+5824=35776,  x = 12165
(x*32+96)/13-5824=35776,  x = 16897
(x*32-96)*13+5824=35776,  x = 75
(x*32-96)*13-5824=35776,  x = 103
(x*32-96)/13+5824=35776,  x = 12171
(x*32-96)/13-5824=35776,  x = 16903
(x/32+96)*13+5824=35776,  x = 70656
(x/32+96)*13-5824=35776,  x = 99328
(x/32+96)/13+5824=35776,  x = 12456960
(x/32+96)/13-5824=35776,  x = 17302528
(x/32-96)*13+5824=35776,  x = 76800
(x/32-96)*13-5824=35776,  x = 105472
(x/32-96)/13+5824=35776,  x = 12463104
(x/32-96)/13-5824=35776,  x = 17308672

Вариант №53
(x*38+114)*12+11400=41952,  x = 64
(x*38+114)*12-11400=41952,  x = 114
(x*38+114)/12+11400=41952,  x = 9645
(x*38+114)/12-11400=41952,  x = 16845
(x*38-114)*12+11400=41952,  x = 70
(x*38-114)*12-11400=41952,  x = 120
(x*38-114)/12+11400=41952,  x = 9651
(x*38-114)/12-11400=41952,  x = 16851
(x/38+114)*12+11400=41952,  x = 92416
(x/38+114)*12-11400=41952,  x = 164616
(x/38+114)/12+11400=41952,  x = 13927380
(x/38+114)/12-11400=41952,  x = 24324180
(x/38-114)*12+11400=41952,  x = 101080
(x/38-114)*12-11400=41952,  x = 173280
(x/38-114)/12+11400=41952,  x = 13936044
(x/38-114)/12-11400=41952,  x = 24332844

Вариант №54
(x*20+60)*27+13500=80460,  x = 121
(x*20+60)*27-13500=80460,  x = 171
(x*20+60)/27+13500=80460,  x = 90393
(x*20+60)/27-13500=80460,  x = 126843
(x*20-60)*27+13500=80460,  x = 127
(x*20-60)*27-13500=80460,  x = 177
(x*20-60)/27+13500=80460,  x = 90399
(x*20-60)/27-13500=80460,  x = 126849
(x/20+60)*27+13500=80460,  x = 48400
(x/20+60)*27-13500=80460,  x = 68400
(x/20+60)/27+13500=80460,  x = 36157200
(x/20+60)/27-13500=80460,  x = 50737200
(x/20-60)*27+13500=80460,  x = 50800
(x/20-60)*27-13500=80460,  x = 70800
(x/20-60)/27+13500=80460,  x = 36159600
(x/20-60)/27-13500=80460,  x = 50739600

Вариант №55
(x*22+44)*19+7106=40964,  x = 79
(x*22+44)*19-7106=40964,  x = 113
(x*22+44)/19+7106=40964,  x = 29239
(x*22+44)/19-7106=40964,  x = 41513
(x*22-44)*19+7106=40964,  x = 83
(x*22-44)*19-7106=40964,  x = 117
(x*22-44)/19+7106=40964,  x = 29243
(x*22-44)/19-7106=40964,  x = 41517
(x/22+44)*19+7106=40964,  x = 38236
(x/22+44)*19-7106=40964,  x = 54692
(x/22+44)/19+7106=40964,  x = 14151676
(x/22+44)/19-7106=40964,  x = 20092292
(x/22-44)*19+7106=40964,  x = 40172
(x/22-44)*19-7106=40964,  x = 56628
(x/22-44)/19+7106=40964,  x = 14153612
(x/22-44)/19-7106=40964,  x = 20094228

Вариант №56
(x*30+90)*22+4620=63360,  x = 86
(x*30+90)*22-4620=63360,  x = 100
(x*30+90)/22+4620=63360,  x = 43073
(x*30+90)/22-4620=63360,  x = 49849
(x*30-90)*22+4620=63360,  x = 92
(x*30-90)*22-4620=63360,  x = 106
(x*30-90)/22+4620=63360,  x = 43079
(x*30-90)/22-4620=63360,  x = 49855
(x/30+90)*22+4620=63360,  x = 77400
(x/30+90)*22-4620=63360,  x = 90000
(x/30+90)/22+4620=63360,  x = 38765700
(x/30+90)/22-4620=63360,  x = 44864100
(x/30-90)*22+4620=63360,  x = 82800
(x/30-90)*22-4620=63360,  x = 95400
(x/30-90)/22+4620=63360,  x = 38771100
(x/30-90)/22-4620=63360,  x = 44869500

Вариант №57
(x*30+90)*21+16380=97650,  x = 126
(x*30+90)*21-16380=97650,  x = 178
(x*30+90)/21+16380=97650,  x = 56886
(x*30+90)/21-16380=97650,  x = 79818
(x*30-90)*21+16380=97650,  x = 132
(x*30-90)*21-16380=97650,  x = 184
(x*30-90)/21+16380=97650,  x = 56892
(x*30-90)/21-16380=97650,  x = 79824
(x/30+90)*21+16380=97650,  x = 113400
(x/30+90)*21-16380=97650,  x = 160200
(x/30+90)/21+16380=97650,  x = 51197400
(x/30+90)/21-16380=97650,  x = 71836200
(x/30-90)*21+16380=97650,  x = 118800
(x/30-90)*21-16380=97650,  x = 165600
(x/30-90)/21+16380=97650,  x = 51202800
(x/30-90)/21-16380=97650,  x = 71841600

Вариант №58
(x*12+36)*10+2880=9960,  x = 56
(x*12+36)*10-2880=9960,  x = 104
(x*12+36)/10+2880=9960,  x = 5897
(x*12+36)/10-2880=9960,  x = 10697
(x*12-36)*10+2880=9960,  x = 62
(x*12-36)*10-2880=9960,  x = 110
(x*12-36)/10+2880=9960,  x = 5903
(x*12-36)/10-2880=9960,  x = 10703
(x/12+36)*10+2880=9960,  x = 8064
(x/12+36)*10-2880=9960,  x = 14976
(x/12+36)/10+2880=9960,  x = 849168
(x/12+36)/10-2880=9960,  x = 1540368
(x/12-36)*10+2880=9960,  x = 8928
(x/12-36)*10-2880=9960,  x = 15840
(x/12-36)/10+2880=9960,  x = 850032
(x/12-36)/10-2880=9960,  x = 1541232

Вариант №59
(x*30+90)*27+7290=127980,  x = 146
(x*30+90)*27-7290=127980,  x = 164
(x*30+90)/27+7290=127980,  x = 108618
(x*30+90)/27-7290=127980,  x = 121740
(x*30-90)*27+7290=127980,  x = 152
(x*30-90)*27-7290=127980,  x = 170
(x*30-90)/27+7290=127980,  x = 108624
(x*30-90)/27-7290=127980,  x = 121746
(x/30+90)*27+7290=127980,  x = 131400
(x/30+90)*27-7290=127980,  x = 147600
(x/30+90)/27+7290=127980,  x = 97756200
(x/30+90)/27-7290=127980,  x = 109566000
(x/30-90)*27+7290=127980,  x = 136800
(x/30-90)*27-7290=127980,  x = 153000
(x/30-90)/27+7290=127980,  x = 97761600
(x/30-90)/27-7290=127980,  x = 109571400

Вариант №60
(x*15+45)*18+6480=26730,  x = 72
(x*15+45)*18-6480=26730,  x = 120
(x*15+45)/18+6480=26730,  x = 24297
(x*15+45)/18-6480=26730,  x = 39849
(x*15-45)*18+6480=26730,  x = 78
(x*15-45)*18-6480=26730,  x = 126
(x*15-45)/18+6480=26730,  x = 24303
(x*15-45)/18-6480=26730,  x = 39855
(x/15+45)*18+6480=26730,  x = 16200
(x/15+45)*18-6480=26730,  x = 27000
(x/15+45)/18+6480=26730,  x = 5466825
(x/15+45)/18-6480=26730,  x = 8966025
(x/15-45)*18+6480=26730,  x = 17550
(x/15-45)*18-6480=26730,  x = 28350
(x/15-45)/18+6480=26730,  x = 5468175
(x/15-45)/18-6480=26730,  x = 8967375

Вариант №61
(x*27+81)*24+1944=104976,  x = 156
(x*27+81)*24-1944=104976,  x = 162
(x*27+81)/24+1944=104976,  x = 91581
(x*27+81)/24-1944=104976,  x = 95037
(x*27-81)*24+1944=104976,  x = 162
(x*27-81)*24-1944=104976,  x = 168
(x*27-81)/24+1944=104976,  x = 91587
(x*27-81)/24-1944=104976,  x = 95043
(x/27+81)*24+1944=104976,  x = 113724
(x/27+81)*24-1944=104976,  x = 118098
(x/27+81)/24+1944=104976,  x = 66762549
(x/27+81)/24-1944=104976,  x = 69281973
(x/27-81)*24+1944=104976,  x = 118098
(x/27-81)*24-1944=104976,  x = 122472
(x/27-81)/24+1944=104976,  x = 66766923
(x/27-81)/24-1944=104976,  x = 69286347

Вариант №62
(x*32+96)*13+11648=36192,  x = 56
(x*32+96)*13-11648=36192,  x = 112
(x*32+96)/13+11648=36192,  x = 9968
(x*32+96)/13-11648=36192,  x = 19432
(x*32-96)*13+11648=36192,  x = 62
(x*32-96)*13-11648=36192,  x = 118
(x*32-96)/13+11648=36192,  x = 9974
(x*32-96)/13-11648=36192,  x = 19438
(x/32+96)*13+11648=36192,  x = 57344
(x/32+96)*13-11648=36192,  x = 114688
(x/32+96)/13+11648=36192,  x = 10207232
(x/32+96)/13-11648=36192,  x = 19898368
(x/32-96)*13+11648=36192,  x = 63488
(x/32-96)*13-11648=36192,  x = 120832
(x/32-96)/13+11648=36192,  x = 10213376
(x/32-96)/13-11648=36192,  x = 19904512

Вариант №63
(x*23+46)*9+4968=19665,  x = 69
(x*23+46)*9-4968=19665,  x = 117
(x*23+46)/9+4968=19665,  x = 5749
(x*23+46)/9-4968=19665,  x = 9637
(x*23-46)*9+4968=19665,  x = 73
(x*23-46)*9-4968=19665,  x = 121
(x*23-46)/9+4968=19665,  x = 5753
(x*23-46)/9-4968=19665,  x = 9641
(x/23+46)*9+4968=19665,  x = 36501
(x/23+46)*9-4968=19665,  x = 61893
(x/23+46)/9+4968=19665,  x = 3041221
(x/23+46)/9-4968=19665,  x = 5097973
(x/23-46)*9+4968=19665,  x = 38617
(x/23-46)*9-4968=19665,  x = 64009
(x/23-46)/9+4968=19665,  x = 3043337
(x/23-46)/9-4968=19665,  x = 5100089

Вариант №64
(x*20+40)*26+6760=85800,  x = 150
(x*20+40)*26-6760=85800,  x = 176
(x*20+40)/26+6760=85800,  x = 102750
(x*20+40)/26-6760=85800,  x = 120326
(x*20-40)*26+6760=85800,  x = 154
(x*20-40)*26-6760=85800,  x = 180
(x*20-40)/26+6760=85800,  x = 102754
(x*20-40)/26-6760=85800,  x = 120330
(x/20+40)*26+6760=85800,  x = 60000
(x/20+40)*26-6760=85800,  x = 70400
(x/20+40)/26+6760=85800,  x = 41100000
(x/20+40)/26-6760=85800,  x = 48130400
(x/20-40)*26+6760=85800,  x = 61600
(x/20-40)*26-6760=85800,  x = 72000
(x/20-40)/26+6760=85800,  x = 41101600
(x/20-40)/26-6760=85800,  x = 48132000

Вариант №65
(x*14+42)*29+10150=69426,  x = 143
(x*14+42)*29-10150=69426,  x = 193
(x*14+42)/29+10150=69426,  x = 122783
(x*14+42)/29-10150=69426,  x = 164833
(x*14-42)*29+10150=69426,  x = 149
(x*14-42)*29-10150=69426,  x = 199
(x*14-42)/29+10150=69426,  x = 122789
(x*14-42)/29-10150=69426,  x = 164839
(x/14+42)*29+10150=69426,  x = 28028
(x/14+42)*29-10150=69426,  x = 37828
(x/14+42)/29+10150=69426,  x = 24065468
(x/14+42)/29-10150=69426,  x = 32307268
(x/14-42)*29+10150=69426,  x = 29204
(x/14-42)*29-10150=69426,  x = 39004
(x/14-42)/29+10150=69426,  x = 24066644
(x/14-42)/29-10150=69426,  x = 32308444

Вариант №66
(x*29+116)*24+12528=121800,  x = 153
(x*29+116)*24-12528=121800,  x = 189
(x*29+116)/24+12528=121800,  x = 90428
(x*29+116)/24-12528=121800,  x = 111164
(x*29-116)*24+12528=121800,  x = 161
(x*29-116)*24-12528=121800,  x = 197
(x*29-116)/24+12528=121800,  x = 90436
(x*29-116)/24-12528=121800,  x = 111172
(x/29+116)*24+12528=121800,  x = 128673
(x/29+116)*24-12528=121800,  x = 158949
(x/29+116)/24+12528=121800,  x = 76049948
(x/29+116)/24-12528=121800,  x = 93488924
(x/29-116)*24+12528=121800,  x = 135401
(x/29-116)*24-12528=121800,  x = 165677
(x/29-116)/24+12528=121800,  x = 76056676
(x/29-116)/24-12528=121800,  x = 93495652

Вариант №67
(x*35+140)*28+4900=174440,  x = 169
(x*35+140)*28-4900=174440,  x = 179
(x*35+140)/28+4900=174440,  x = 135628
(x*35+140)/28-4900=174440,  x = 143468
(x*35-140)*28+4900=174440,  x = 177
(x*35-140)*28-4900=174440,  x = 187
(x*35-140)/28+4900=174440,  x = 135636
(x*35-140)/28-4900=174440,  x = 143476
(x/35+140)*28+4900=174440,  x = 207025
(x/35+140)*28-4900=174440,  x = 219275
(x/35+140)/28+4900=174440,  x = 166144300
(x/35+140)/28-4900=174440,  x = 175748300
(x/35-140)*28+4900=174440,  x = 216825
(x/35-140)*28-4900=174440,  x = 229075
(x/35-140)/28+4900=174440,  x = 166154100
(x/35-140)/28-4900=174440,  x = 175758100

Вариант №68
(x*33+165)*12+4356=37620,  x = 79
(x*33+165)*12-4356=37620,  x = 101
(x*33+165)/12+4356=37620,  x = 12091
(x*33+165)/12-4356=37620,  x = 15259
(x*33-165)*12+4356=37620,  x = 89
(x*33-165)*12-4356=37620,  x = 111
(x*33-165)/12+4356=37620,  x = 12101
(x*33-165)/12-4356=37620,  x = 15269
(x/33+165)*12+4356=37620,  x = 86031
(x/33+165)*12-4356=37620,  x = 109989
(x/33+165)/12+4356=37620,  x = 13167099
(x/33+165)/12-4356=37620,  x = 16617051
(x/33-165)*12+4356=37620,  x = 96921
(x/33-165)*12-4356=37620,  x = 120879
(x/33-165)/12+4356=37620,  x = 13177989
(x/33-165)/12-4356=37620,  x = 16627941

Вариант №69
(x*14+56)*5+1470=4410,  x = 38
(x*14+56)*5-1470=4410,  x = 80
(x*14+56)/5+1470=4410,  x = 1046
(x*14+56)/5-1470=4410,  x = 2096
(x*14-56)*5+1470=4410,  x = 46
(x*14-56)*5-1470=4410,  x = 88
(x*14-56)/5+1470=4410,  x = 1054
(x*14-56)/5-1470=4410,  x = 2104
(x/14+56)*5+1470=4410,  x = 7448
(x/14+56)*5-1470=4410,  x = 15680
(x/14+56)/5+1470=4410,  x = 205016
(x/14+56)/5-1470=4410,  x = 410816
(x/14-56)*5+1470=4410,  x = 9016
(x/14-56)*5-1470=4410,  x = 17248
(x/14-56)/5+1470=4410,  x = 206584
(x/14-56)/5-1470=4410,  x = 412384

Вариант №70
(x*10+20)*19+3040=18050,  x = 77
(x*10+20)*19-3040=18050,  x = 109
(x*10+20)/19+3040=18050,  x = 28517
(x*10+20)/19-3040=18050,  x = 40069
(x*10-20)*19+3040=18050,  x = 81
(x*10-20)*19-3040=18050,  x = 113
(x*10-20)/19+3040=18050,  x = 28521
(x*10-20)/19-3040=18050,  x = 40073
(x/10+20)*19+3040=18050,  x = 7700
(x/10+20)*19-3040=18050,  x = 10900
(x/10+20)/19+3040=18050,  x = 2851700
(x/10+20)/19-3040=18050,  x = 4006900
(x/10-20)*19+3040=18050,  x = 8100
(x/10-20)*19-3040=18050,  x = 11300
(x/10-20)/19+3040=18050,  x = 2852100
(x/10-20)/19-3040=18050,  x = 4007300

Вариант №71
(x*13+39)*16+6032=19968,  x = 64
(x*13+39)*16-6032=19968,  x = 122
(x*13+39)/16+6032=19968,  x = 17149
(x*13+39)/16-6032=19968,  x = 31997
(x*13-39)*16+6032=19968,  x = 70
(x*13-39)*16-6032=19968,  x = 128
(x*13-39)/16+6032=19968,  x = 17155
(x*13-39)/16-6032=19968,  x = 32003
(x/13+39)*16+6032=19968,  x = 10816
(x/13+39)*16-6032=19968,  x = 20618
(x/13+39)/16+6032=19968,  x = 2898181
(x/13+39)/16-6032=19968,  x = 5407493
(x/13-39)*16+6032=19968,  x = 11830
(x/13-39)*16-6032=19968,  x = 21632
(x/13-39)/16+6032=19968,  x = 2899195
(x/13-39)/16-6032=19968,  x = 5408507

Вариант №72
(x*15+60)*27+2835=73305,  x = 170
(x*15+60)*27-2835=73305,  x = 184
(x*15+60)/27+2835=73305,  x = 126842
(x*15+60)/27-2835=73305,  x = 137048
(x*15-60)*27+2835=73305,  x = 178
(x*15-60)*27-2835=73305,  x = 192
(x*15-60)/27+2835=73305,  x = 126850
(x*15-60)/27-2835=73305,  x = 137056
(x/15+60)*27+2835=73305,  x = 38250
(x/15+60)*27-2835=73305,  x = 41400
(x/15+60)/27+2835=73305,  x = 28539450
(x/15+60)/27-2835=73305,  x = 30835800
(x/15-60)*27+2835=73305,  x = 40050
(x/15-60)*27-2835=73305,  x = 43200
(x/15-60)/27+2835=73305,  x = 28541250
(x/15-60)/27-2835=73305,  x = 30837600

Вариант №73
(x*25+50)*18+10800=44550,  x = 73
(x*25+50)*18-10800=44550,  x = 121
(x*25+50)/18+10800=44550,  x = 24298
(x*25+50)/18-10800=44550,  x = 39850
(x*25-50)*18+10800=44550,  x = 77
(x*25-50)*18-10800=44550,  x = 125
(x*25-50)/18+10800=44550,  x = 24302
(x*25-50)/18-10800=44550,  x = 39854
(x/25+50)*18+10800=44550,  x = 45625
(x/25+50)*18-10800=44550,  x = 75625
(x/25+50)/18+10800=44550,  x = 15186250
(x/25+50)/18-10800=44550,  x = 24906250
(x/25-50)*18+10800=44550,  x = 48125
(x/25-50)*18-10800=44550,  x = 78125
(x/25-50)/18+10800=44550,  x = 15188750
(x/25-50)/18-10800=44550,  x = 24908750

Вариант №74
(x*33+132)*7+3927=13398,  x = 37
(x*33+132)*7-3927=13398,  x = 71
(x*33+132)/7+3927=13398,  x = 2005
(x*33+132)/7-3927=13398,  x = 3671
(x*33-132)*7+3927=13398,  x = 45
(x*33-132)*7-3927=13398,  x = 79
(x*33-132)/7+3927=13398,  x = 2013
(x*33-132)/7-3927=13398,  x = 3679
(x/33+132)*7+3927=13398,  x = 40293
(x/33+132)*7-3927=13398,  x = 77319
(x/33+132)/7+3927=13398,  x = 2183445
(x/33+132)/7-3927=13398,  x = 3997719
(x/33-132)*7+3927=13398,  x = 49005
(x/33-132)*7-3927=13398,  x = 86031
(x/33-132)/7+3927=13398,  x = 2192157
(x/33-132)/7-3927=13398,  x = 4006431

Вариант №75
(x*32+128)*12+10752=36864,  x = 64
(x*32+128)*12-10752=36864,  x = 120
(x*32+128)/12+10752=36864,  x = 9788
(x*32+128)/12-10752=36864,  x = 17852
